Paper name,Year,venue,Sensing Target,Type of sensing,Substrate,Substrate sourcing,Sensing layer materials,Sensing materials Sourcing,Fabrication process,Device Form Factor,validation process,Expected  results,Potential applications,Limitations,Procedure for building these devices,
"BioSparks: Jewelry as Electrochemical Sweat Biosensors with Modular, Repurposing and Interchangeable Approaches",2023,ACM UbiComp/ISWC Adjunct,Glucose in sweat,Electrochemical chronoamperometry (three-electrode configuration),Sterling silver jewelry case with replaceable 3D-printed silicone insert,Silver (925 sterling) from Rio Grande; FormLabs Flexible 80A resin; leather straps and epoxy gems (Amazon/jewelry suppliers),"Sterling silver electrodes (working, reference, counter); Glucose oxidase enzyme and cross-linker (Zimmer & Peacock); Biosensor barrier solution (Zimmer & Peacock); Silicone insert (Flexible 80A resin)","Zimmer & Peacock (enzyme and barrier solutions); Rio Grande (silver and solder); FormLabs (resin); Amazon (battery, leather straps, wires)","Cut and solder silver electrodes (moon, circle, star) → assemble rivet holders → 3D-print silicone insert (Flexible 80A) → activate electrode with GOx + cross-linker → apply barrier layer → integrate into silver case with BLE PCB → connect to ecFlex potentiostat","Modular wearable jewelry biosensor (bracelet, necklace, belt) with interchangeable electrodes and replaceable casing",Chronoamperometric testing on 2–20 mM glucose (1 µL sweat simulation) using ecFlex potentiostat (30 s trials); current followed Cottrell decay; calibration and reproducibility confirmed,Higher glucose → higher current amplitude; decay stabilized after 10 s; comparable to industrial glucose sensors; functional jewelry integration achieved,Fashionable modular glucose biosensing jewelry; reusable electrodes; aesthetic health monitoring,Manual polishing/fabrication required; silver oxidation untested; durability and reusability limited; requires external potentiostat,Cut and solder silver electrodes → print silicone insert → activate with enzyme and cross-linker → coat with barrier → assemble into jewelry case → connect BLE potentiostat → test glucose response (2–20 mM) via chronoamperometry,
Chitosan Biofilm Actuators – Humidity Responsive Materials for Sustainable Interaction Design,2024,"ACM TEI (Tangible, Embedded, and Embodied Interaction)",Humidity (relative humidity 60–90%),Passive hygroscopic actuation (moisture-driven bending),Chitosan biofilm and woven cotton (bilayer),Chitosan powder (Sigma-Aldrich/Amazon); vinegar (5% acetic acid); distilled water; textile-grade cotton fabric,Chitosan powder (5 wt%); vinegar (50%); water (50%); optional flax mucilage or pine sap for strength; food coloring for visual variation,Sigma-Aldrich (chitosan); local grocery vinegar; distilled water; cotton textile suppliers,Mix chitosan (5 wt%) with 50% vinegar + 50% water → heat to 60 °C → pour 20 mL into 80×80×4 mm mold → dry 6 h at 55 °C → optionally coat cotton one-sided for bilayer → dry fully to form humidity-actuated film,"Thin (0.3–0.5 mm) humidity-responsive films and cotton–chitosan bilayers for haptic, display, or textile prototypes",Tested under 60–90% RH using DHT21 + piezo mist maker; tracked via JSTrack v1.0; peak bending after ~20 min; reversible actuation with humidity drop to 50%,Reversible actuation verified across cycles; bilayer most stable; max curvature at 80–90% RH; response speed influenced by thickness,Smart textiles; self-folding origami; dynamic humidity-responsive displays; haptic buttons,Manual casting causes uneven thickness; 20 min response time; low actuation force; humidity sensitivity; long drying time,Mix and heat chitosan solution (60 °C) → pour into mold → dry 6 h at 55 °C → create cotton bilayer → cut shape → expose to 60–90% RH → record curvature and recovery with DHT21 sensor,
ChromaLipSense: Lipstick-Based Biosensors for Metabolic Monitoring,2024,"Wearables Collective (University of California, Davis)",Salivary pH (5.5–8.0),"Colorimetric biosensing (anthocyanin-based color shift analyzed by deep learning, ResNet-18/50)","Cosmetic-grade lipstick base (castor oil, beeswax, carnauba wax, olive oil, cetyl alcohol)","TKB Trading (lipstick base); cosmetic suppliers (Sigma, Amazon); food-grade red cabbage powder (grocery)",Red cabbage powder (anthocyanin pigment); cetyl octanoate; titanium dioxide (non-nano); silver mica; primer adhesive (stearic acid + PVP); acrylate copolymer,TKB Trading (cosmetic base); Sigma-Aldrich/Amazon (additives); food-grade suppliers (red cabbage powder),Mix 4 parts lipstick base + 1 part cetyl octanoate + 1 part TiO₂ + 1 part primer adhesive → heat to 185 °F (10 min) → add acrylate copolymer + silver mica + red cabbage at 175 °F → stir 5 min → pour into molds (9 mm) → chill at 35 °F for 10 min → store at room temp,Lipstick-based biosensor for salivary pH monitoring applied on lips or silicone lip models,"Tested on 5 buffer pH levels (5.5–8.0) using NaH₂PO₄/acetic acid; images captured under 8 lighting conditions (2200–6500 K) with Canon EOS R & Pixel 6; 4 participants + artificial lips dataset (~40 images × 5 pH × 8 lighting × 2 devices); ResNet-18/50 trained 50 epochs, lr 0.0001, ADAM optimizer",ResNet-18 & 50 models achieved 96.88% test accuracy; clear hue transition red→purple→blue; stable color shifts across lighting conditions; reproducible results in lab trials,"Cosmetic-integrated biosensing for oral/metabolic monitoring; adaptable to eyeliner, foundation, or tattoo sensors",Small dataset (n = 4 participants); anthocyanin instability; lighting sensitivity; single-analyte limitation,Mix and heat lipstick ingredients at 185 °F → add mica + anthocyanin pigment → pour and cool in molds → apply and expose to pH 5.5–8.0 → capture images under multiple lights → train ResNet for classification,
The Dermal Abyss: Interfacing with the Skin by Tattooing Biosensors,2017,ACM ISWC (International Symposium on Wearable Computers),"Glucose, pH, and sodium ions in interstitial fluid",Colorimetric and fluorescent optical biosensing (tattoo-based),Human dermis (ex vivo pig skin model),"Fresh pig foreleg skin (~10 mm thick) obtained from local butcher, stored at −4 °C",Anthocyanin (red cabbage extract) for pH; Seminaphthorhodafluor (SNARF) fluorescent pH dye; Diaza-15-crown-5 (Sodium Green) for Na⁺; glucose oxidase/peroxidase + KI + buffer (from Rapid Response urinalysis strips),"Thermo Fisher (SNARF, Sodium Green); Sigma Aldrich (buffers, NaCl, Tris); Rapid Response strips (glucose oxidase/peroxidase); red cabbage extract (food-grade)","Prepare biosensor solutions in 150 mM Tris buffer (pH 7.0–7.4, 25 °C) → inject 50 µL laterally (≤ 4 mm) or 2 µL vertically (2 mm) into dermis using 31G syringe → wait 10 min → image under visible and UV light (507/532 nm excitation) → combine with tattoo pigments for pattern design",Ex vivo pig skin biosensing tattoo patches (colorimetric and fluorescent),pH: magenta→pink (8→7); Na⁺: fluorescence ↑1.9× (0–200 mM); glucose: brown coloration at 10 mM; imaged with iPhone 6S & Zeiss microscope,"Visible color and fluorescence changes correspond to analyte concentration; clear differentiation among glucose, Na⁺, and pH sensors",Continuous glucose/hydration/pH monitoring through aesthetic tattoo interfaces; integration with optical readout wearables,Ex vivo only; fluorescent dye photobleaching; limited stability and selectivity; biocompatibility untested; d,,
Designing with Alganyl,2022,"ACM TEI (Tangible, Embedded, and Embodied Interaction)",UV light and temperature,Colorimetric (photochromic and thermochromic pigments embedded in bioplastic),Alganyl bioplastic (agar–glycerin composite),"Food-grade agar powder, glycerin, and water (Sigma/Amazon/local stores)",Photochromic pigment (cream→pink under UV); thermochromic pigment (blue↔white with temperature); optional activated charcoal for conductive circuits; food/natural dyes for color customization,"Chromatic Technologies Inc. (CTI); Sigma/Amazon (agar, glycerin); local sources (dyes, vinegar)",Mix 50 mL water + 2 g agar + 3 g glycerin → boil (~2 min microwave or 10 min stovetop) → add 0.25 g pigment → pour on flat surface → dry 24–72 h → cut or heat-seal → optionally recycle by re-cooking 3:10 in water,"Flexible Alganyl film (0.5–1 mm thick) shaped into bracelets, necklaces, or interactive surfaces","UV pen and sunlight tests (photochromic: cream→pink); heat tests (thermochromic: purple→red at ~35 °C); mechanical testing (13% elongation, 12.5 MPa); biodegradation 97% mass loss in 60 days at 40 °C","Visible reversible color change under UV/heat; flexible, biodegradable, and stable indoors for 2 years",UV-sensing bracelet; thermosensitive jewelry; biodegradable circuits; recyclable bioplastic art objects,Pigment degradation after re-cooking; moisture-induced warping; limited waterproofing; lower durability than vinyl,"Mix agar, glycerin, and water (2:3:50 ratio) → heat to dissolve → add pigment → pour and dry 24–72 h → shape and seal → expose to UV/heat to observe color change → recycle by re-cooking scraps",
DuoSkin: Rapidly Prototyping On-Skin User Interfaces,2016,ACM ISWC (International Symposium on Wearable Computers),"Touch, heat (thermochromic), and NFC communication","Capacitive touch sensing, resistive heating for thermochromic display, and NFC-based wireless interaction",Temporary tattoo paper with gold-leaf conductive traces and cosmetic adhesive,Silhouette temporary tattoo paper; Mehron Spirit Gum or Pros-Aide adhesive; 24K cosmetic gold leaf; copper tape; Adafruit Flora or NFC tag modules,Gold leaf (24K) for conductive traces; thermochromic pigment for color change; copper tape for antenna; flexible microcontroller for control,"Amazon/Adafruit (NFC and microcontrollers); Silhouette (tattoo paper); art stores (gold leaf, adhesive)",Design circuit pattern in Illustrator → cut with Silhouette Cameo → apply gold leaf and remove stencil → solder pads and attach thermochromic or NFC modules → transfer to skin with adhesive → connect to battery/smartphone,Thin flexible on-skin electronics resembling metallic tattoos (50–200 µm thick),"Touch accuracy ≈99% (3×3 grid); thermochromic color change <5 s at 3.7 V, 120 mA; NFC read/write range ≈2 cm; 17 participants fabricated and evaluated their own DuoSkin tattoos",Stable and repeatable touch and thermal response; reversible color changes; aesthetic and functional metallic skin interfaces,Interactive sliders and buttons on skin; thermochromic skin displays; NFC tattoos for data or identity; artistic wearable electronics,Gold leaf fragile; manual alignment needed; adhesive and pigments degrade after one use; not reusable,"Design circuit → cut stencil → apply gold leaf → integrate touch, thermochromic, and NFC layers → transfer onto skin → test with phone or power source",
ChromoSkin: Towards Interactive Cosmetics Using Thermochromic Pigments,2016,ACM CHI Extended Abstracts,Temperature (ambient and electrically induced),Thermochromic colorimetric sensing (passive and active),Tattoo transfer paper with silicone adhesive backing,Silhouette Cameo tattoo paper; Thermalloy Theragrip insulation tape; silicone adhesives (eyelash/tattoo glue),"Thermochromic pigment (Hali Pigment, 42 °C & 33–38 °C activation); Liquitex flexible molding paste; conductive thread (~10 Ω); Thermalloy Theragrip insulation","Hali Pigment (thermochromic pigment); Liquitex (acrylic medium); Thermalloy (insulation tape); Amazon (conductive thread, tattoo paper)",Mix 0.05 oz pigment + 0.25 oz water + 0.30 oz molding paste → coat on tattoo paper → dry → add serpentine conductive thread (~10 Ω) → add insulation + adhesive → connect to Arduino (3.7 V Li-ion) → apply on skin,Thermochromic tattoo-like cosmetic interface for color-changing cosmetics,"Color change within ~30 s at 3.7 V, 0.16 A (active); reversible cooling within 30 s; insulation lowered surface temp by ~10 °C; 5 h wear duration",Stable and reversible color transitions via ambient or resistive heating; cosmetic appearance maintained,"Dynamic makeup (eyeshadow, tattoos, nail polish); temperature-activated fashion or interactive beauty interfaces",Short wear time (~5 h); pigment instability <35 °C; no pixel-level control; adhesive degradation over time,Mix pigment–paste–water → coat and dry on tattoo paper → attach conductive thread circuit → insulate → add adhesive backing → connect to Arduino → test color response under ambient and active heating,
EarthTones: Chemical Sensing Powders to Detect and Display Environmental Hazards through Color Variation,2017,ACM CHI Extended Abstracts,"Carbon Monoxide (CO), Ultraviolet (UV), Ozone (O₃)","Pure chemical colorimetric sensing (redox, photoacid, oxidation)",Cosmetic-grade silica or mica powders with pigments,Silica (Sigma-Aldrich); mica and pigments (TKB Trading / Sigma),CO: PdSO₄–silica (1:2 g); UV: DPIC + Thymol Blue + NaOH buffer; O₃: KI + starch–amylose complex,"Sigma Aldrich (PdSO₄, KI, TB, NaOH); TCI/Fisher (DPIC); cosmetic pigment suppliers","Mix chemicals as per formulation; CO powder: PdSO₄ + silica (1:2), heat 50 °C, grind; UV powder: DPIC + TB (1:7.5 g) in 50:50 ethanol/water + 0.1 M NaOH, dry film, scrape to powder; O₃ powder: KI + starch 1:1, dry and grind; blend each with mica pigment for cosmetic tone",Chemical sensing powders blended with cosmetic bases for on-skin or textile use,Colorimetry via UV-Vis spectroscopy; CO > 60 ppm → brown; UV (1–4 h) → yellow to red; O₃ (4–48 h) → peach to rose red,"Cumulative, visible color change correlating with exposure; aesthetic analog display without electronics",Wearable air-quality and UV awareness powders; environmental cosmetic sensors,Irreversible O₃ reaction; slow response; untested skin safety; semi-quantitative only,"Mix CO, UV, and O₃ chemical formulations → dry → grind → blend with mica → apply and observe color change or record UV-Vis spectrum",
EcoPatches: Maker-Friendly Chemical-Based UV Sensing,2020,ACM DIS (Designing Interactive Systems),Cumulative ultraviolet (UV) exposure (UVI-hours),Photoacid-induced colorimetric reaction (UV → H⁺ generation → pH drop → color shift),Temporary tattoo paper with archival resin (~0.5 mm) and adhesive films,Silhouette tattoo paper; archival resin and hardener (Amazon); skin-safe adhesives (3M),Diphenyliodonium chloride (PAG); phenol red (pH indicator); sodium hydroxide (buffer); ethanol (solvent); optional bromothymol blue (alt indicator),"Sigma Aldrich (PAG, phenol red, NaOH); TCI/Fisher (PAG); Amazon (ethanol, resin, adhesives)",Mix 1 part 0.1 M PAG + 1 part 1 M NaOH + 10 parts phenol red + 10 parts 95 % ethanol → load printer → print UV regions 10× → print reference → dry 5 min → apply 0.5 mm resin (48 h cure) → add adhesive films → calibrate under sunlight with dosimeter,Flexible UV-sensing tattoo-like patch (0–11 UVI-hrs),"Human study (n = 35): r = 0.79, error −0.56 ± 2.11 UVI-hrs; App: r = 0.90, error −0.01 ± 1.65 UVI-hrs; accuracy 83.7–88.5 % after calibration",Visible yellow→red transition proportional to UV dose; adjustable formulation for skin types; accurate visual and app readout,Wearable UV exposure monitors; educational maker patches; environmental awareness tattoos,Irreversible reaction; saturation > 6.7 UVI-hrs; ink/resin variability; 48 h curing required,Mix ink → print 10× → dry → add reference scale → apply resin (48 h cure) → add adhesive → calibrate and interpret visually or via app,
EcoThreads: Prototyping Biodegradable E-Textiles Through Thread-Based Fabrication,2024,ACM CHI Conference on Human Factors in Computing Systems,"Conductivity, resistivity, pH and temperature sensing",Biodegradable conductive and interactive threads fabricated via wet spinning and coating,"Alginate, CMC, chitosan binders with CNT, AgNWs, and natural colorimetric or thermochromic pigments","Food-safe sodium alginate, glycerin, sunflower seed oil, de-ionized water, 10 % CaCl₂ coagulation bath; mercerized cotton yarns; CMC binder",Conductive: CNT dispersion (0.8 %) or AgNWs (~40 nm); Interactive: anthocyanin extract (red-cabbage/blueberry) or thermochromic pigment,Sigma Aldrich; ACS Materials (NWAG04E1 AgNWs); Tuball Batt H₂O CNT 0.8 %; Cape Crystal Brands (alginate); Ward’s Science (glycerin); Whole Foods (sunflower oil),"Wet-spin: mix 4 g alginate + 5 g glycerin + 2.5 g oil + 150 g DI water (+ CNT/pigment) → degass → extrude with DIY syringe pump (14–16 G needle) into 10 % CaCl₂ bath (2 min) → rinse → air-dry on warping board. Coating: prepare 0.4 % CMC (60 °C, 2 h) → mix AgNWs:CMC = 4:1 → pull cotton thread through mixture → oven dry 60 °C for 5 min × 3 layers → characterize resistance.","Biodegradable conductive or color-changing threads for weaving, knitting, embroidery, and braiding",AgNWs–CMC coated cotton: ≈ 0.85 Ω / inch (after 3 layers at 0.1 % CMC); CNT–alginate wet-spun: ≈ 1.38 Ω / cm (at 3.3 % CNT); tensile strength improved with 0.4 % CMC additive,Threads show tunable conductivity and color response; biodegrade within ≈ 14 days (compost or soil),Sustainable e-textiles for rapid prototyping and transient biosensing; educational and artistic applications,Reduced tensile strength vs synthetics; viscosity variation affects uniformity; manual fabrication variability,"Mix alginate ink → extrude into CaCl₂ bath 2 min → rinse and dry → alternatively coat cotton threads (AgNWs:CMC 4:1, 3× layers at 60 °C) → integrate via weaving/knitting → measure resistance and biodegradation performance",
ECSkin: Tessellating Electrochromic Films for Reconfigurable On-skin Displays,2024,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT) / UbiComp","Visual display of physiological or contextual information (e.g., posture, hydration, mood, activity cues)",Electrochromic color-change sensing and display using modular PEDOT:PSS-based EC cells,Silicone tattoo paper substrate with vinyl sticker paper base and conductive fabric traces,"Silicone tattoo paper (Amazon); vinyl sticker paper (craft stores); conductive fabric tape (Cobaltex, LessEMF); Ag/AgCl conductive ink (Kayaku AgCl-675); small magnets (Amazon)",PEDOT:PSS (Sigma 768650) as electrochromic ink; CNT dispersion (TUBALL Batt-H₂O) as counter electrode; ion gel electrolyte (4 : 1 : 10 EMI[TFSA] : PVDF : acetone); Ag/AgCl conductive ink for contacts; conductive fabric tape for leads,"Sigma Aldrich (PEDOT:PSS); TUBALL (CNT dispersion); Solvionic (EMI[TFSA]); Sigma (PVDF, acetone); Kayaku (AgCl-675); LessEMF (conductive fabric); Amazon (magnets, tattoo paper)",Screen-print PEDOT:PSS and CNT layers on vinyl sticker paper → cure 90 °C × 30 min → laminate onto silicone tattoo paper → paint Ag/AgCl contacts → apply conductive fabric traces → cast ion gel (4 : 1 : 10 EMI[TFSA] : PVDF : acetone) → solvent-cast 60 °C → attach magnets for modular connections → insulate backing,"Reconfigurable electrochromic modules (2.3–2.5 mm thick) arranged as tessellations (square, diamond, arc) forming on-skin displays",Color contrast ΔE* ≈ 35 @ 5 V; switching time = 25 s @ 3.7 V → 10 s @ 12 V; power ≤ 2.7 mW @ 5 V (0.5 mA); bend radius ≈ 1 cm; visible contrast > 25 ΔE* for addressable modules,"Low-power, flexible, skin-safe electrochromic modules with clear visible contrast; manual or addressable control (DS2413 + Teensy 3.2); reconfigurable tessellation layouts",Wearable reconfigurable on-skin displays; posture and activity feedback; ambient mood or hydration cues; educational EC fabrication toolkit,Monochrome (blue ↔ colorless) only; moderate switching speed; solvent handling requires ventilation; magnet polarity alignment issues during assembly,Screen-print PEDOT:PSS + CNT inks → cure → laminate on silicone tattoo substrate → add Ag/AgCl contacts and conductive fabric traces → cast ion gel (4 : 1 : 10) → dry 60 °C → assemble magnets and insulation → test color change at 3.7–12 V,
ecSkin: Low-Cost Fabrication of Epidermal Electrochemical Sensors for Detecting Biomarkers in Sweat,2024,ACM CHI Conference on Human Factors in Computing Systems,Glucose and cortisol in sweat,"Electrochemical sensing using printed conductive inks, characterized with cyclic voltammetry (CV) and chronoamperometry, followed by machine learning-based concentration prediction","PET sheet (for final biosensing), tattoo paper, and silicone sheet (tested for compatibility)","Generic lab-supply PET sheets, Silhouette tattoo paper (craft stores), silicone sheets (Amazon)",Graphite + alkyd wood varnish (1:2 ratio) + 5 wt% powdered imitation gold leaf additive (V2 formulation); alternative oleogel ink (graphite + beeswax + olive oil); reference electrode: Ag/AgCl silver ink,"Sigma-Aldrich (graphite, alkyd varnish, Ag/AgCl ink); Amazon (imitation gold leaf, beeswax, olive oil); Pickering Labs (artificial sweat); Palmsens (EmStat Pico 4S potentiostat)",Mask PET with tape → cut stencil (plotter) → print Ag/AgCl reference electrode and cure 65 °C × 15 min → print working and counter electrodes with varnish-based ink (V2) → air-cure 6–8 h → connect to potentiostat for testing,"Three-electrode printed biosensing patch on PET substrate (working, counter, and reference electrodes)","Characterized via CV in ferricyanide (−0.5–0.5 V, 20–200 mV/s) and in artificial sweat spiked with biomarkers; glucose and cortisol peaks at −0.36 V and −0.22 V respectively; Random Forest regression (600 samples) gave R² ≈ 0.95 for glucose and 0.92 for cortisol",Stable current responses and distinct redox peaks corresponding to glucose and cortisol; accurate machine learning prediction from current–voltage features,Non-invasive epidermal biosensing for glucose and cortisol; printable low-cost health-monitoring patches; potential integration with on-skin interaction interfaces,Oleogel brittle and poorly adherent to PET; varnish ink needs ~6 h curing; limited repeatability under high sweat exposure; minor surface roughness artifacts,"Formulate varnish-based ink (4 g graphite + 2 g varnish + 0.3 g gold leaf + 5–7 mL acetone, stir 85 °C 15 min) → stencil-print Ag/AgCl reference → cure 65 °C 15 min → print working and counter → dry 6–8 h → test CV/CA in artificial sweat → optionally train Random Forest regressor for glucose/cortisol concentration prediction",
"ElectroDermis: Fully Untethered, Stretchable, and Highly-Customizable Electronic Bandages",2019,ACM CHI Conference on Human Factors in Computing Systems,"Physiological signals (heart rate, skin temperature, motion, wound color) and contextual sensing (environment color, gestures)","Multimodal sensing and display via stretchable electronic bandage integrating PPG, temperature, accelerometer, and camera modules",Spandex-blend fabric laminated with TPU adhesive and 3M Tegaderm medical adhesive; PDMS processing bed for circuit patterning,"Spandex-blend fabric (Amazon / Jo-Ann); TPU film (Bemis 3412); Tegaderm adhesive (3M); PDMS (Sylgard 184, Dow Corning)","Copper foil (DuPont FR7031, 70 µm) patterned into serpentine interconnects; TPU adhesive (Bemis 3412); anisotropic conductive tape (3M ECATT 9703); electronic modules (nRF52 MCU, MAX30101 PPG, MPU6650 accelerometer, MCP9808 temperature sensor, BNO055 9-DOF IMU, TCS34725 camera)","DuPont (FR7031 copper film); Bemis (TPU); 3M (ECATT 9703, Tegaderm); Dow Corning (PDMS); Nordic Semiconductor, Maxim, Bosch, Microchip (IC modules)","Laminate copper film on PDMS → UV laser micromachine serpentine traces (2 W, 135 mm/s, 18 passes) → laminate TPU (120 °C, 30 s) → attach IC modules with ECATT 9703 tape → embed in Poron foam mold → laminate on spandex (120 °C, 60 s) → apply Tegaderm adhesive → cut openings for modules",Stretchable wireless electronic bandage with BLE communication,"Traces withstand 165 % elongation (ΔR < 10 %); LED circuit operational up to 70 % strain; continuous wireless sensing for heart rate, temperature, and motion","Highly stretchable, skin-conformal, and reusable electronic bandage maintaining electrical integrity under strain; stable BLE communication and multimodal sensing","Physiological monitoring, motion tracking, wound healing, ambient color visualization, and interactive wearable cosmetics",Requires UV laser micromachining; not washable; limited local stretch due to rigid IC islands; adhesive replacement needed after each use,Scan body region → flatten 3D surface → laser-pattern copper → laminate TPU → mount IC modules via ECATT tape → laminate onto spandex → apply Tegaderm → attach to skin → connect via BLE for sensing,
E-seed: Shape-Changing Interfaces That Self-Drill,2020,ACM UIST (User Interface Software and Technology),Humidity and environmental parameters (self-drilling response); optional temperature or light sensors when embedded,"Passive hygromorphic actuation through humidity-responsive wood composites with optional electronic sensing modules (RFID, temperature, light)",White oak wood veneer with flour-based tip and electrostatically flocked pony hair,"White oak veneer (local lumber suppliers); NaOH (Belle Chemical); ethyl cellulose (Sigma-Aldrich); pony hair (natural suppliers); flour and water (grocery); optional electronics (Adafruit, Formlabs)","Wood veneer softened with 10 wt% NaOH, flour dough tip coated with ethyl cellulose, and 2 mm pony hair flocked electrostatically for surface friction","Belle Chemical (NaOH); Sigma-Aldrich (ethyl cellulose); Adafruit (RFID, light sensors); Formlabs (3D molds)","Laser-cut oak veneer → soften in 10 % NaOH (80 °C, 7 h) → wrap on 3D mold → bake 60 °C, 6 h → mold flour tip (112 g flour + 42.5 mL water), dry 24 h → dip-coat ethyl cellulose (1–3×) → electrostatic flocking with 2 mm pony hair → optional sensor/electronic embedding → deploy in soil for humidity cycles",Humidity-driven self-drilling actuator with optional integrated sensors in capsule form,Self-drilling tests in humidity-controlled chamber (3 s on / 37 s off misting cycles); 4 hydration–drying cycles achieved 30–80 % burial; stable rotation for up to 8 cycles; withstands 12–20 m/s wind,"Autonomous, humidity-responsive morphing structures that embed into soil and can optionally host small environmental sensing modules (temperature, humidity, light, RFID)","Environmental monitoring, soil-embedded sensors, self-deploying agricultural probes, post-fire seeding robots",No full outdoor validation; manual tip fabrication; hair flocking degrades after repeated wet/dry cycles; limited soil-type generalization,Laser-cut veneer → NaOH soften → mold + bake → prepare flour tip + ethyl cellulose coat → flock pony hair → assemble optional sensing electronics → dry → deploy in humidity chamber or soil → observe self-drilling,
Sketch&Stitch: Interactive Embroidery for E-Textiles,2018,ACM CHI Conference on Human Factors in Computing Systems,Touch and proximity sensing on textiles,Capacitive and resistive touch sensing through embroidered conductive traces integrated into fabric artwork,"Cotton, linen, or leather fabrics within embroidery hoop","Commercial cotton or linen fabrics (Joann Fabrics, Amazon Basics); standard embroidery backing materials",Conductive Shieldex 117/17 dtex 2-ply silver thread (< 30 Ω/cm); non-conductive embroidery thread for insulation; 3M Z-tape 97033 for component attachment; Circuitry Stickers printed on adhesive paper,Shieldex (EMPA / LessEMF); 3M (97033 Z-tape); LilyPad Arduino (Adafruit); embroidery thread (Amazon),Sketch artwork and circuit on fabric → place Circuitry Stickers → capture image with phone → computer-vision digitization → embroidery machine stitches conductive and insulating threads → replace stickers with components (via Z-tape or LilyStitch) → connect to LilyPad microcontroller → test touch response,Embroidered textile touch and slider interfaces stitched directly onto fabric,"Resistivity 5–12 Ω (5 cm satin stitch, 0.8 mm width); insulation effective with 1.5 mm satin stitch; 4×4 touch grid error ≈ 2.2 ± 0.7 mm",Accurate touch input and reliable embroidered conductive paths; visually integrated circuit and art patterns,"Fashion and wearable interfaces, interactive textile art, touchpads, and sliders for smart clothing",Manual alignment for component placement; dependent on lighting for pen recognition; limited washability; thread fraying with dense stitches,Sketch + place stickers → capture → digitize → machine embroider conductive and insulating threads → attach LilyPad components via 3M Z-tape or LilyStitch → test capacitive touch sensing and LED response,
Flavorium: An Exploration of Flavobacteria’s Living Aesthetics for Living Color Interfaces,2022,ACM CHI Conference on Human Factors in Computing Systems,"Humidity, temperature, and microbial activity",Biological colorimetric sensing using structural color formation in living Flavobacteria colonies,"Nutrient agar substrate with black food pigment, contained in Petri dishes and a custom humidity-controlled Flavorium bioreactor",Sigma-Aldrich (agar); Thermo Fisher (marine broth); VWR (Petri dishes); black food pigment (commercial),Living Flavobacteria Cellulophaga lytica forming photonic-crystal-like microstructures that diffract light based on environmental conditions,Hoekmine BV (Flavobacteria strain); Sigma-Aldrich / Thermo Fisher (media and reagents),"Prepare agar + black pigment → sterilize 121 °C → pour into Petri dish → inoculate with Flavobacteria → seal with parafilm → incubate 7 days at RT → optionally mount in Arduino-controlled Flavorium bioreactor with humidity sensor, humidifier, camera, LED ring → capture daily RGB images",Biological living-color interface with iridescent structural coloration,"Controlled tests at 35%, 65%, 95% RH: colony growth rate ~5 mm/day at 95%; color and texture quantified by RGB imaging (30°–75° illumination); hue and brilliance correlate with humidity",Responsive living bacterial colonies showing humidity-dependent color and texture change; optical lifetime ~1 week (Petri dish) or ~1 month (Flavorium),"Living color displays for ambient data visualization, plant/soil humidity indicators, temporal art, and environmental awareness interfaces",Requires sterile biolab; humidity sensitivity; lifespan ~7–30 days; slow optical response; ethical considerations for living media,Prepare agar + pigment → inoculate Flavobacteria → seal and incubate → optionally integrate into Flavorium (humidity control + camera) → image and analyze color/texture evolution,
Sensitive Colorimetric Sensors for Visual Detection of Carbon Dioxide and Sulfur Dioxide,2015,Journal of Materials Chemistry A,Carbon dioxide (CO₂) and sulfur dioxide (SO₂),Colorimetric gas sensing via acid–base reaction between tertiary amino alcohols and target gases using immobilized pH indicators,Porous γ-aluminum oxide pellets (Al₂O₃) as solid support,Alfa Aesar (γ-Al₂O₃ pellets),"Tertiary amino alcohols (DMEA, MDEA, TEA, DMAH) with pH indicators (cresol red, phenol red, bromothymol blue); optional coupling agent GPMS for grafting","Sigma-Aldrich (amino alcohols, dyes, gases); Gelest (GPMS silane); Alfa Aesar (γ-Al₂O₃)","Soak 2 g γ-Al₂O₃ in 10 mmol amino alcohol (THF, 48 h) → evaporate → soak in 10 mM dye solution (30 min) → dry; for covalent version: silanize with GPMS (110 °C, N₂, overnight) → react with amine (72 h reflux) → dye immobilization → dry → test under CO₂/SO₂ flow",Porous colorimetric pellets for visual gas detection,"CO₂: <10 s response at 500 ppm, 5 s at ≥1500 ppm; SO₂: visible at 0.2 % v/v; reversible in 15–20 s under air/N₂; stable ≥1–3 months depending on grafting",Color change purple ↔ yellow (cresol red) or blue ↔ green (BTB) upon exposure to CO₂/SO₂; reversible and visible to the naked eye,"Low-cost visual CO₂ and SO₂ monitoring for air-quality, flue gas, or confined-space safety detection",Requires dry conditions; limited durability under humidity; amine evaporation; dye photobleaching over repeated cycles,Soak γ-Al₂O₃ pellets in tertiary amino alcohol → dry → immerse in dye solution → dry → expose to CO₂/SO₂ → regenerate by N₂ purge or mild heating; optional GPMS silane grafting for longer shelf life,
